id,ticker,name,marketCap
332,950210,프레스티지바이오파마,7752
333,140860,파크시스템스,7723
334,182400,엔케이맥스,7660
335,003520,영진약품,7608
336,218410,RFHIC,7593
337,192820,코스맥스,7558
338,009970,영원무역홀딩스,7513
339,010050,우리종금,7474
340,003000,부광약품,7426
341,069080,웹젠,7397
342,383800,LX홀딩스,7361
343,006120,SK디스커버리,7339
344,298000,효성화학,7241
345,280360,롯데제과,7218
346,046890,서울반도체,7200
347,003280,흥아해운,7188
348,383310,에코프로에이치엔,7147
349,101730,위메이드맥스,7108
350,284740,쿠쿠홈시스,7101
351,090435,아모레퍼시픽우,7094
352,000070,삼양홀딩스,7074
353,192650,드림텍,7003
354,057050,현대홈쇼핑,6972
355,323990,박셀바이오,6949
356,003230,삼양식품,6930
357,007340,디티알오토모티브,6895
358,025980,아난티,6862
359,095340,ISC,6837
360,097520,엠씨넥스,6759
361,294090,이오플로우,6712
362,256840,한국비엔씨,6667
363,003030,세아제강지주,6647
364,210980,SK디앤디,6590
365,049070,인탑스,6587
366,009450,경동나비엔,6585
367,064960,SNT모티브,6580
368,319660,피에스케이,6563
369,005610,SPC삼립,6540
370,085620,미래에셋생명,6540
371,091700,파트론,6539
372,178320,서진시스템,6539
373,033640,네패스,6514
374,000640,동아쏘시오홀딩스,6507
375,004690,삼천리,6488
376,348210,넥스틴,6487
377,290510,코리아센터,6430
378,003470,유안타증권,6427
379,060250,NHN한국사이버결제,6425
380,049770,동원F&B,6348
381,106240,파인테크닉스,6326
382,220630,맘스터치,6312
383,085370,루트로닉,6302
384,064260,다날,6281
385,025540,한국단자,6280
386,001430,세아베스틸지주,6275
387,289220,자이언트스텝,6266
388,004430,송원산업,6264
389,206650,유바이오로직스,6232
390,001530,DI동일,6213
391,025860,남해화학,6209
392,235980,메드팩토,6208
393,033290,코웰패션,6203
394,097230,HJ중공업,6170
395,131970,두산테스나,6154
396,287410,제이시스메디칼,6138
397,089980,상아프론테크,6107
398,192400,쿠쿠홀딩스,6098
399,002350,넥센타이어,6074
400,382840,원준,6064
401,194480,데브시스터즈,6055
402,00680K,미래에셋증권2우B,6048
403,007810,코리아써키트,6035
404,950220,네오이뮨텍,5993
405,183300,코미코,5972
406,357120,코람코에너지리츠,5958
407,950130,엑세스바이오,5883
408,293940,신한알파리츠,5876
409,054210,이랜텍,5842
410,017810,풀무원,5832
411,005090,SGC에너지,5826
412,017960,한국카본,5824
413,090710,휴림로봇,5813
414,034310,NICE,5795
415,092040,아미코젠,5788
416,002240,고려제강,5761
417,001060,JW중외제약,5755
418,082270,젬백스,5752
419,093050,LF,5672
420,000400,롯데손해보험,5648
421,038540,상상인,5643
422,278650,노터스,5623
423,006730,서부T&D,5617
424,091120,이엠텍,5608
425,121800,비덴트,5593
426,048530,인트론바이오,5566
427,036830,솔브레인홀딩스,5565
428,151860,KG ETS,5562
429,086390,유니테스트,5537
430,298040,효성중공업,5529
431,041190,우리기술투자,5518
432,033240,자화전자,5494
433,008730,율촌화학,5480
434,170900,동아에스티,5447
435,043150,바텍,5444
436,101490,에스앤에스텍,5416
437,145990,삼양사,5393
438,001720,신영증권,5359
439,140410,메지온,5294
440,060720,KH바텍,5280
441,006390,한일현대시멘트,5279
442,267980,매일유업,5216
443,199800,툴젠,5214
444,306200,세아제강,5204
445,950160,코오롱티슈진,5200
446,001820,삼화콘덴서,5192
447,217270,넵튠,5180
448,000815,삼성화재우,5171
449,003100,선광,5161
450,030520,한글과컴퓨터,5154
451,230360,에코마케팅,5135
452,041960,코미팜,5134
453,005180,빙그레,5093
454,143240,사람인에이치알,5083
455,000370,한화손해보험,5083
456,095610,테스,5060
457,071840,롯데하이마트,5016
458,039840,디오,5000
459,007660,이수페타시스,4996
460,038500,삼표시멘트,4996
461,330860,네패스아크,4989
462,001880,DL건설,4984
463,138490,코오롱플라스틱,4978
464,084010,대한제강,4953
465,034830,한국토지신탁,4923
466,032190,다우데이타,4921
467,095660,네오위즈,4902
468,115390,락앤락,4902
469,009160,SIMPAC,4881
470,027410,BGF,4881
471,268600,셀리버리,4870
472,006405,삼성SDI우,4861
473,205470,휴마시스,4859
474,102710,이엔에프테크놀로지,4857
475,003070,코오롱글로벌,4815
476,102460,이연제약,4805
477,104830,원익머트리얼즈,4803
478,068400,SK렌터카,4799
479,007690,국도화학,4784
480,037560,LG헬로비전,4778
481,007570,일양약품,4761
482,047820,초록뱀미디어,4731
483,123890,한국자산신탁,4729
484,092220,KEC,4726
485,063080,컴투스홀딩스,4715
486,061970,엘비세미콘,4706
487,003580,HLB글로벌,4701
488,183190,아세아시멘트,4694
489,030610,교보증권,4693
490,005420,코스모화학,4680
491,003800,에이스침대,4679
492,060150,인선이엔티,4679
493,051500,CJ프레시웨이,4653
494,243840,신흥에스이씨,4642
495,089970,에이피티씨,4609
496,161000,애경케미칼,4597
497,011930,신성이엔지,4580
498,243070,휴온스,4577
499,002320,한진,4559
500,002900,TYM,4555
501,018250,애경산업,4555
502,094800,맵스리얼티1,4534
503,226320,잇츠한불,4528
504,246710,티앤알바이오팹,4501
505,033270,유나이티드제약,4499
506,286940,롯데정보통신,4495
507,037270,YG PLUS,4484
508,088800,에이스테크,4483
509,110790,크리스에프앤씨,4463
510,108670,LX하우시스,4452
511,298540,더네이쳐홀딩스,4450
512,027710,팜스토리,4434
513,053030,바이넥스,4430
514,001390,KG케미칼,4430
515,104480,티케이케미칼,4426
516,048550,SM C&C,4421
517,031330,에스에이엠티,4419
518,013120,동원개발,4413
519,230240,에치에프알,4404
520,099320,쎄트렉아이,4383
521,053210,스카이라이프,4375
522,099190,아이센스,4366
523,206560,덱스터,4357
524,063170,서울옥션,4354
525,299030,하나기술,4349
526,001790,대한제당,4345
527,035600,KG이니시스,4325
528,377030,맥스트,4325
529,012630,HDC,4307
530,029960,코엔텍,4300
531,091810,티웨이항공,4280
532,131390,원익피앤이,4267
533,058820,CMG제약,4257
534,088260,이리츠코크렙,4256
535,290670,대보마그네틱,4256
536,319400,현대무벡스,4250
537,058650,세아홀딩스,4240
538,005390,신성통상,4217
539,008490,서흥,4205
540,060980,한라홀딩스,4199
541,298690,에어부산,4198
542,232140,와이아이케이,4192
543,005950,이수화학,4179
544,003300,한일홀딩스,4162
545,281820,케이씨텍,4151
546,003620,쌍용차,4150
547,036810,에프에스티,4144
548,298870,다올인베스트먼트,4135
549,077360,덕산하이메탈,4116
550,047920,HLB제약,4110
551,130660,한전산업,4107
552,080580,오킨스전자,4083
553,004890,동일산업,4074
554,104460,디와이피엔에프,4060
555,001470,삼부토건,4053
556,001725,신영증권우,4048
557,136480,하림,4035
558,307750,국전약품,4033
559,018310,삼목에스폼,4027
560,293780,압타바이오,4024
561,101160,월덱스,4012
562,119610,인터로조,4004
563,016800,퍼시스,3984
564,071320,지역난방공사,3983
565,067000,조이시티,3980
566,027360,아주IB투자,3975
567,000050,경방,3975
568,291230,엔피,3955
569,139990,아주스틸,3954
570,082740,HSD엔진,3947
571,015750,성우하이텍,3932
572,080160,모두투어,3931
573,050890,쏠리드,3930
574,100120,뷰웍스,3905
575,078020,이베스트투자증권,3905
576,078160,메디포스트,3903
577,058610,에스피지,3892
578,011690,와이투솔루션,3885
579,099430,바이오플러스,3874
580,321550,티움바이오,3860
581,035890,서희건설,3860
582,089030,테크윙,3858
583,117580,대성에너지,3850
584,078130,국일제지,3841
585,371950,풍원정밀,3829
586,075580,세진중공업,3825
587,003545,대신증권우,3822
588,005860,한일사료,3818
589,001510,SK증권,3809
590,322000,현대에너지솔루션,3808
591,024720,한국콜마홀딩스,3808
592,102940,코오롱생명과학,3800
593,317330,덕산테코피아,3785
594,002270,롯데푸드,3784
595,214260,라파스,3783
596,294570,쿠콘,3779
597,000230,일동홀딩스,3750
598,122450,KMH,3749
599,030530,원익홀딩스,3734
600,016590,신대양제지,3727
601,035080,그래디언트,3718
602,285490,노바텍,3706
603,104700,한국철강,3705
604,003220,대원제약,3702
605,011700,한신기계,3698
606,004250,NPC,3690
607,007460,에이프로젠 MED,3685
608,041830,인바디,3680
609,071055,한국금융지주우,3673
610,026890,스틱인베스트먼트,3671
611,055490,테이팩스,3665
612,100790,미래에셋벤처투자,3645
613,037070,파세코,3640
614,002310,아세아제지,3622
615,042000,카페24,3622
616,023410,유진기업,3618
617,122900,아이마켓코리아,3610
618,009290,광동제약,3601
619,051370,인터플렉스,3592
620,065350,신성델타테크,3586
621,034950,한국기업평가,3577
622,059090,미코,3575
623,089010,켐트로닉스,3565
624,115450,HLB테라퓨틱스,3556
625,293480,하나제약,3554
626,121440,골프존뉴딘홀딩스,3551
627,081000,일진다이아,3536
628,339770,교촌에프앤비,3535
629,217330,싸이토젠,3523
630,277810,레인보우로보틱스,3509
631,086980,쇼박스,3506
632,083790,크리스탈지노믹스,3490
633,032300,한국파마,3484
634,126560,현대퓨처넷,3471
635,000490,대동,3470
636,271980,제일약품,3462
637,900140,엘브이엠씨홀딩스,3461
638,272550,삼양패키징,3457
639,00088K,한화3우B,3449
640,032820,우리기술,3432
641,377190,디앤디플랫폼리츠,3432
642,095720,웅진씽크빅,3424
643,053610,프로텍,3410
644,002150,도화엔지니어링,3405
645,064290,인텍플러스,3398
646,017940,E1,3392
647,042600,새로닉스,3385
648,005500,삼진제약,3384
649,281740,레이크머티리얼즈,3378
650,002020,코오롱,3377
651,052400,코나아이,3376
652,123420,위메이드플레이,3366
653,034810,해성산업,3360
654,213500,한솔제지,3355
655,136510,에디슨EV,3352
656,002990,금호건설,3344
657,067990,도이치모터스,3336
658,032620,유비케어,3335
659,033500,동성화인텍,3332
660,001500,현대차증권,3329
661,078070,유비쿼스홀딩스,3327
662,072710,농심홀딩스,3325
663,046440,KG모빌리언스,3323
664,265520,AP시스템,3316
665,029530,신도리코,3316
666,389260,대명에너지,3315
667,023160,태광,3312
668,000020,동화약품,3309
669,095570,AJ네트웍스,3291
670,204270,제이앤티씨,3285
671,084690,대상홀딩스,3277
672,317400,자이에스앤디,3277
673,084680,이월드,3275
674,365270,큐라클,3274
675,048870,시너지이노베이션,3273
676,002960,한국쉘석유,3269
677,009410,태영건설,3267
678,020120,키다리스튜디오,3264
679,206640,바디텍메드,3264
680,001630,종근당홀딩스,3251
681,001520,동양,3246
682,000480,조선내화,3240
683,039440,에스티아이,3213
684,094820,일진파워,3211
685,004700,조광피혁,3211
686,068290,삼성출판사,3210
687,179290,엠아이텍,3189
688,237880,클리오,3180
689,136490,선진,3174
690,001200,유진투자증권,3172
691,404990,신한서부티엔디리츠,3167
692,084110,휴온스글로벌,3167
693,252990,샘씨엔에스,3159
694,016580,환인제약,3152
695,092190,서울바이오시스,3145
696,033160,엠케이전자,3140
697,282880,코윈테크,3139
698,011040,경동제약,3138
699,194700,노바렉스,3128
700,226950,올릭스,3124
701,314130,지놈앤컴퍼니,3122
702,096240,크레버스,3122
703,042420,네오위즈홀딩스,3117
704,101360,이엔드디,3116
705,005810,풍산홀딩스,3107
706,00104K,CJ4우(전환),3102
707,000140,하이트진로홀딩스,3086
708,100130,동국S&C,3085
709,038290,마크로젠,3084
710,009520,포스코엠텍,3077
711,107590,미원홀딩스,3074
712,118990,모트렉스,3074
713,006910,보성파워텍,3070
714,002460,화성산업,3069
715,036200,유니셈,3066
716,004380,삼익THK,3066
717,001250,GS글로벌,3062
718,009580,무림P&P,3062
719,033180,KH 필룩스,3057
720,002780,진흥기업,3054
721,077970,STX엔진,3048
722,094480,갤럭시아머니트리,3044
723,245620,EDGC,3043
724,006060,화승인더,3031
725,263720,디앤씨미디어,3031
726,036030,케이티알파,3029
727,029460,케이씨,3029
728,399720,가온칩스,3027
729,251370,와이엠티,3027
730,001780,알루코,3012
731,216080,제테마,3008
732,065680,우주일렉트로,3000
733,030210,다올투자증권,2997
734,010690,화신,2996
735,108230,톱텍,2984
736,035810,이지홀딩스,2983
737,077500,유니퀘스트,2980
738,008350,남선알미늄,2980
739,014620,성광벤드,2974
740,122990,와이솔,2973
741,138080,오이솔루션,2969
742,019680,대교,2956
743,008040,사조동아원,2956
744,025770,한국정보통신,2939
745,045100,한양이엔지,2934
746,183490,엔지켐생명과학,2933
747,214870,뉴지랩파마,2928
748,002030,아세아,2925
749,011785,금호석유우,2920
750,005960,동부건설,2916
751,340570,티앤엘,2909
752,009680,모토닉,2907
753,013580,계룡건설,2902
754,179900,유티아이,2901
755,006490,인스코비,2890
756,018470,조일알미늄,2867
757,001130,대한제분,2864
758,143160,아이디스,2861
759,126700,하이비젼시스템,2853
760,036800,나이스정보통신,2850
761,131370,알서포트,2849
762,037710,광주신세계,2848
763,128820,대성산업,2840
764,003960,사조대림,2840
765,012610,경인양행,2834
766,043610,지니뮤직,2830
767,001940,KISCO홀딩스,2822
768,004980,성신양회,2819
769,045390,대아티아이,2817
770,024090,디씨엠,2810
771,038880,아이에이,2809
772,149950,아바텍,2809
773,089600,나스미디어,2808
774,003920,남양유업,2804
775,194370,제이에스코퍼레이션,2800
776,003200,일신방직,2796
777,096760,JW홀딩스,2793
778,044340,위닉스,2788
779,002390,한독,2780
780,123860,아나패스,2767
781,052710,아모텍,2767
782,003570,SNT중공업,2759
783,023760,한국캐피탈,2758
784,297890,HB솔루션,2757
785,035150,백산,2746
786,001460,BYC,2742
787,058430,포스코스틸리온,2730
788,035510,신세계 I&C,2726
789,002710,TCC스틸,2726
790,036630,세종텔레콤,2725
791,011280,태림포장,2722
792,080420,모다이노칩,2718
793,114810,아이원스,2718
794,115180,큐리언트,2691
795,044450,KSS해운,2689
796,079430,현대리바트,2679
797,036530,SNT홀딩스,2673
798,148150,세경하이테크,2669
799,018000,유니슨,2665
800,003060,에이프로젠제약,2662
801,060280,큐렉소,2659
802,241820,피씨엘,2658
803,016450,한세예스24홀딩스,2656
804,053580,웹케시,2653
805,019550,SBI인베스트먼트,2641
806,092230,KPX홀딩스,2636
807,015860,일진홀딩스,2630
808,093320,케이아이엔엑스,2630
809,225530,보광산업,2627
810,006840,AK홀딩스,2623
811,389140,포바이포,2622
812,142280,녹십자엠에스,2618
813,014280,금강공업,2616
814,105840,우진,2611
